ascii,morse,memo
!,313133,Wiki (NOT in ITU)
"""",131131,
#,313111,AsciiMorse (NB ナンバー)
$,1113113,Wiki (NOT in ITU)
%,13313,AsciiMorse (PT パーセント)
&,13111,Wiki (NOT in ITU)
',13331,
(,31331,
),313313,
*,131113,AsciiMorse (AST アスタリスク, 標準はXと同じ)
+,13131,
",",331131,
-,311113,
.,131313,
/,31131,
0,33333,
1,13333,
2,11333,
3,11133,
4,11113,
5,11111,
6,31111,
7,33111,
8,33311,
9,33331,
:,333111,
;,313131,Wiki (NOT in ITU)
<,1311111,AsciiMorse (LS レスザン)
=,31113,
>,3313131,AsciiMorse (GTR グレーター)
?,113311,
@,133131,
A,13,
B,3111,
C,3131,
D,311,
E,1,
F,1131,
G,331,
H,1111,
I,11,
J,1333,
K,313,
L,1311,
M,33,
N,31,
O,333,
P,1331,
Q,3313,
R,131,
S,111,
T,3,
U,113,
V,1113,
W,133,
X,3113,
Y,3133,
Z,3311,
[,1113111,AsciiMorse (SB スクエア)
\,3111111,
],1113131,AsciiMorse (SC スクエア)
^,13113,AsciiMorse (EX EXP)
_,113313,Wiki (NOT in ITU)
